designation,d,bf,tw,tf,Zx
W12X16,12.0,3.99,0.22,0.265,20.1
W12X14,11.9,3.97,0.2,0.225,17.4
W10X112,11.4,10.4,0.755,1.25,147.0
W10X100,11.1,10.3,0.68,1.12,130.0
W10X88,10.8,10.3,0.605,0.99,113.0
W10X77,10.6,10.2,0.53,0.87,97.6
W10X68,10.4,10.1,0.47,0.77,85.3
W10X60,10.2,10.1,0.42,0.68,74.6
W10X54,10.1,10.0,0.37,0.615,66.6
W10X49,10.0,10.0,0.34,0.56,60.4
W10X45,10.1,8.02,0.35,0.62,54.9
W10X39,9.92,7.99,0.315,0.53,46.8
W10X33,9.73,7.96,0.29,0.435,38.8
W10X30,10.5,5.81,0.3,0.51,36.6
W10X26,10.3,5.77,0.26,0.44,31.3
W10X22,10.2,5.75,0.24,0.36,26.0
W10X19,10.2,4.02,0.25,0.395,21.6
W10X17,10.1,4.01,0.24,0.33,18.7
W10X15,9.99,4.0,0.23,0.27,16.0
W10X12,9.87,3.96,0.19,0.21,12.6
W8X67,9.0,8.28,0.57,0.935,70.1
W8X58,8.75,8.22,0.51,0.81,59.8
W8X48,8.5,8.11,0.4,0.685,49.0
W8X40,8.25,8.07,0.36,0.56,39.8
W8X35,8.12,8.02,0.31,0.495,34.7
W8X31,8.0,8.0,0.285,0.435,30.4
W8X28,8.06,6.54,0.285,0.465,27.2
W8X24,7.93,6.5,0.245,0.4,23.1
W8X21,8.28,5.27,0.25,0.4,20.4
W8X18,8.14,5.25,0.23,0.33,17.0
W8X15,8.11,4.02,0.245,0.315,13.6
W8X13,7.99,4.0,0.23,0.255,11.4
W8X10,7.89,3.94,0.17,0.205,8.87
W6X25,6.38,6.08,0.32,0.455,18.9
W6X20,6.2,6.02,0.26,0.365,14.9
W6X15,5.99,5.99,0.23,0.26,10.8
W6X16,6.28,4.03,0.26,0.405,11.7
W6X12,6.03,4.0,0.23,0.28,8.3
W6X9,5.9,3.94,0.17,0.215,6.23
W6X8.5,5.83,3.94,0.17,0.195,5.73
W5X19,5.15,5.03,0.27,0.43,11.6
W5X16,5.01,5.0,0.24,0.36,9.63
W4X13,4.16,4.06,0.28,0.345,6.28
